Firing Time, Firing Node, Firing Neuron,  Neuron Type, External Source
1.2, 1, 192, inhibitory, true
1.2, 1, 196, inhibitory, true
1.2, 1, 156, inhibitory, true
1.2, 1, 151, inhibitory, true
1.2, 1, 149, inhibitory, true
1.2, 1, 198, inhibitory, true
1.2, 1, 124, inhibitory, true
1.2, 1, 125, inhibitory, true
1.2, 1, 150, inhibitory, true
1.2, 1, 112, inhibitory, true
1.2, 1, 160, inhibitory, true
1.2, 1, 155, inhibitory, true
1.2, 1, 154, inhibitory, true
1.2, 1, 126, inhibitory, true
1.2, 1, 153, inhibitory, true
1.2, 1, 127, inhibitory, true
1.2, 1, 106, inhibitory, true
1.2, 1, 113, inhibitory, true
1.2, 1, 159, inhibitory, true
1.2, 1, 157, inhibitory, true
1.2, 1, 128, inhibitory, true
1.2, 1, 129, inhibitory, true
1.2, 1, 158, inhibitory, true
1.2, 1, 114, inhibitory, true
2.2, 1, 158, inhibitory, true
2.2, 1, 114, inhibitory, true
2.2, 1, 122, inhibitory, true
2.2, 1, 171, inhibitory, true
2.2, 1, 163, inhibitory, true
2.2, 1, 101, inhibitory, true
2.2, 1, 146, inhibitory, true
2.2, 1, 161, inhibitory, true
2.2, 1, 162, inhibitory, true
2.2, 1, 131, inhibitory, true
2.2, 1, 176, inhibitory, true
2.2, 1, 167, inhibitory, true
2.2, 1, 132, inhibitory, true
2.2, 1, 115, inhibitory, true
2.2, 1, 100, inhibitory, true
2.2, 1, 199, inhibitory, true
2.2, 1, 133, inhibitory, true
2.2, 1, 103, inhibitory, true
2.2, 1, 107, inhibitory, true
2.2, 1, 136, inhibitory, true
2.2, 1, 169, inhibitory, true
2.2, 1, 165, inhibitory, true
2.2, 1, 164, inhibitory, true
2.2, 1, 116, inhibitory, true
2.2, 1, 135, inhibitory, true
2.2, 1, 166, inhibitory, true
2.2, 1, 175, inhibitory, true
2.2, 1, 137, inhibitory, true
2.2, 1, 117, inhibitory, true
2.2, 1, 168, inhibitory, true
2.2, 1, 134, inhibitory, true
2.2, 1, 108, inhibitory, true
2.2, 1, 118, inhibitory, true
2.2, 1, 170, inhibitory, true
2.2, 1, 188, inhibitory, true
2.2, 1, 179, inhibitory, true
2.2, 1, 178, inhibitory, true
2.2, 1, 173, inhibitory, true
2.2, 1, 192, inhibitory, true
2.2, 1, 172, inhibitory, true
2.2, 1, 139, inhibitory, true
2.2, 1, 174, inhibitory, true
2.2, 1, 183, inhibitory, true
2.2, 1, 140, inhibitory, true
2.2, 1, 119, inhibitory, true
2.2, 1, 138, inhibitory, true
2.2, 1, 177, inhibitory, true
2.2, 1, 141, inhibitory, true
2.2, 1, 104, inhibitory, true
2.2, 1, 109, inhibitory, true
2.2, 1, 187, inhibitory, true
2.2, 1, 185, inhibitory, true
2.2, 1, 181, inhibitory, true
2.2, 1, 180, inhibitory, true
2.2, 1, 120, inhibitory, true
2.2, 1, 143, inhibitory, true
2.2, 1, 182, inhibitory, true
2.2, 1, 191, inhibitory, true
2.2, 1, 144, inhibitory, true
2.2, 1, 121, inhibitory, true
2.2, 1, 184, inhibitory, true
2.2, 1, 142, inhibitory, true
2.2, 1, 145, inhibitory, true
2.2, 1, 186, inhibitory, true
2.2, 1, 110, inhibitory, true
2.2, 1, 129, inhibitory, true
2.2, 1, 124, inhibitory, true
2.2, 1, 195, inhibitory, true
2.2, 1, 102, inhibitory, true
2.2, 1, 130, inhibitory, true
2.2, 1, 189, inhibitory, true
2.2, 1, 190, inhibitory, true
2.2, 1, 147, inhibitory, true
2.2, 1, 152, inhibitory, true
2.2, 1, 197, inhibitory, true
2.2, 1, 148, inhibitory, true
2.2, 1, 123, inhibitory, true
2.2, 1, 193, inhibitory, true
2.2, 1, 194, inhibitory, true
2.2, 1, 111, inhibitory, true
2.2, 1, 105, inhibitory, true
2.2, 1, 198, inhibitory, true
2.2, 1, 196, inhibitory, true
2.2, 1, 149, inhibitory, true
2.2, 1, 151, inhibitory, true
2.2, 1, 128, inhibitory, true
2.2, 1, 126, inhibitory, true
2.2, 1, 112, inhibitory, true
2.2, 1, 125, inhibitory, true
2.2, 1, 150, inhibitory, true
2.2, 1, 154, inhibitory, true
2.2, 1, 160, inhibitory, true
2.2, 1, 155, inhibitory, true
2.2, 1, 157, inhibitory, true
2.2, 1, 127, inhibitory, true
2.2, 1, 156, inhibitory, true
2.2, 1, 153, inhibitory, true
2.2, 1, 159, inhibitory, true
2.2, 1, 106, inhibitory, true
2.2, 1, 113, inhibitory, true
3.2, 1, 106, inhibitory, true
3.2, 1, 113, inhibitory, true
3.2, 1, 145, inhibitory, true
3.2, 1, 134, inhibitory, true
3.2, 1, 100, inhibitory, true
3.2, 1, 146, inhibitory, true
3.2, 1, 122, inhibitory, true
3.2, 1, 158, inhibitory, true
3.2, 1, 114, inhibitory, true
3.2, 1, 101, inhibitory, true
3.2, 1, 171, inhibitory, true
3.2, 1, 163, inhibitory, true
3.2, 1, 115, inhibitory, true
3.2, 1, 131, inhibitory, true
3.2, 1, 161, inhibitory, true
3.2, 1, 162, inhibitory, true
3.2, 1, 132, inhibitory, true
3.2, 1, 176, inhibitory, true
3.2, 1, 167, inhibitory, true
3.2, 1, 168, inhibitory, true
3.2, 1, 165, inhibitory, true
3.2, 1, 103, inhibitory, true
3.2, 1, 199, inhibitory, true
3.2, 1, 133, inhibitory, true
3.2, 1, 169, inhibitory, true
3.2, 1, 107, inhibitory, true
3.2, 1, 136, inhibitory, true
3.2, 1, 117, inhibitory, true
3.2, 1, 135, inhibitory, true
3.2, 1, 164, inhibitory, true
3.2, 1, 116, inhibitory, true
3.2, 1, 137, inhibitory, true
3.2, 1, 166, inhibitory, true
3.2, 1, 175, inhibitory, true
3.2, 1, 142, inhibitory, true
3.2, 1, 138, inhibitory, true
3.2, 1, 173, inhibitory, true
3.2, 1, 170, inhibitory, true
3.2, 1, 108, inhibitory, true
3.2, 1, 178, inhibitory, true
3.2, 1, 188, inhibitory, true
3.2, 1, 179, inhibitory, true
3.2, 1, 119, inhibitory, true
3.2, 1, 139, inhibitory, true
3.2, 1, 172, inhibitory, true
3.2, 1, 140, inhibitory, true
3.2, 1, 174, inhibitory, true
3.2, 1, 183, inhibitory, true
3.2, 1, 184, inhibitory, true
3.2, 1, 181, inhibitory, true
3.2, 1, 104, inhibitory, true
3.2, 1, 177, inhibitory, true
3.2, 1, 141, inhibitory, true
3.2, 1, 185, inhibitory, true
3.2, 1, 109, inhibitory, true
3.2, 1, 187, inhibitory, true
3.2, 1, 121, inhibitory, true
3.2, 1, 143, inhibitory, true
3.2, 1, 180, inhibitory, true
3.2, 1, 120, inhibitory, true
3.2, 1, 144, inhibitory, true
3.2, 1, 182, inhibitory, true
3.2, 1, 191, inhibitory, true
3.2, 1, 159, inhibitory, true
3.2, 1, 198, inhibitory, true
3.2, 1, 123, inhibitory, true
3.2, 1, 130, inhibitory, true
3.2, 1, 129, inhibitory, true
3.2, 1, 186, inhibitory, true
3.2, 1, 110, inhibitory, true
3.2, 1, 102, inhibitory, true
3.2, 1, 124, inhibitory, true
3.2, 1, 195, inhibitory, true
3.2, 1, 148, inhibitory, true
3.2, 1, 147, inhibitory, true
3.2, 1, 189, inhibitory, true
3.2, 1, 190, inhibitory, true
3.2, 1, 197, inhibitory, true
3.2, 1, 152, inhibitory, true
3.2, 1, 105, inhibitory, true
3.2, 1, 193, inhibitory, true
3.2, 1, 118, inhibitory, true
3.2, 1, 192, inhibitory, true
3.2, 1, 111, inhibitory, true
3.2, 1, 156, inhibitory, true
3.2, 1, 194, inhibitory, true
3.2, 1, 153, inhibitory, true
3.2, 1, 125, inhibitory, true
3.2, 1, 151, inhibitory, true
3.2, 1, 196, inhibitory, true
3.2, 1, 149, inhibitory, true
3.2, 1, 112, inhibitory, true
3.2, 1, 128, inhibitory, true
3.2, 1, 126, inhibitory, true
3.2, 1, 160, inhibitory, true
3.2, 1, 150, inhibitory, true
3.2, 1, 154, inhibitory, true
3.2, 1, 127, inhibitory, true
3.2, 1, 155, inhibitory, true
3.2, 1, 157, inhibitory, true
4.2, 1, 155, inhibitory, true
4.2, 1, 157, inhibitory, true
4.2, 1, 116, inhibitory, true
4.2, 1, 161, inhibitory, true
4.2, 1, 122, inhibitory, true
4.2, 1, 145, inhibitory, true
4.2, 1, 106, inhibitory, true
4.2, 1, 113, inhibitory, true
4.2, 1, 146, inhibitory, true
4.2, 1, 134, inhibitory, true
4.2, 1, 100, inhibitory, true
4.2, 1, 131, inhibitory, true
4.2, 1, 101, inhibitory, true
4.2, 1, 158, inhibitory, true
4.2, 1, 114, inhibitory, true
4.2, 1, 115, inhibitory, true
4.2, 1, 171, inhibitory, true
4.2, 1, 163, inhibitory, true
4.2, 1, 164, inhibitory, true
4.2, 1, 103, inhibitory, true
4.2, 1, 176, inhibitory, true
4.2, 1, 162, inhibitory, true
4.2, 1, 132, inhibitory, true
4.2, 1, 165, inhibitory, true
4.2, 1, 167, inhibitory, true
4.2, 1, 168, inhibitory, true
4.2, 1, 135, inhibitory, true
4.2, 1, 169, inhibitory, true
4.2, 1, 199, inhibitory, true
4.2, 1, 133, inhibitory, true
4.2, 1, 117, inhibitory, true
4.2, 1, 107, inhibitory, true
4.2, 1, 136, inhibitory, true
4.2, 1, 120, inhibitory, true
4.2, 1, 139, inhibitory, true
4.2, 1, 173, inhibitory, true
4.2, 1, 166, inhibitory, true
4.2, 1, 137, inhibitory, true
4.2, 1, 118, inhibitory, true
4.2, 1, 138, inhibitory, true
4.2, 1, 175, inhibitory, true
4.2, 1, 142, inhibitory, true
4.2, 1, 119, inhibitory, true
4.2, 1, 108, inhibitory, true
4.2, 1, 170, inhibitory, true
4.2, 1, 179, inhibitory, true
4.2, 1, 178, inhibitory, true
4.2, 1, 188, inhibitory, true
4.2, 1, 180, inhibitory, true
4.2, 1, 104, inhibitory, true
4.2, 1, 174, inhibitory, true
4.2, 1, 172, inhibitory, true
4.2, 1, 140, inhibitory, true
4.2, 1, 181, inhibitory, true
4.2, 1, 183, inhibitory, true
4.2, 1, 184, inhibitory, true
4.2, 1, 143, inhibitory, true
4.2, 1, 185, inhibitory, true
4.2, 1, 177, inhibitory, true
4.2, 1, 141, inhibitory, true
4.2, 1, 121, inhibitory, true
4.2, 1, 109, inhibitory, true
4.2, 1, 187, inhibitory, true
4.2, 1, 127, inhibitory, true
4.2, 1, 147, inhibitory, true
4.2, 1, 129, inhibitory, true
4.2, 1, 159, inhibitory, true
4.2, 1, 182, inhibitory, true
4.2, 1, 191, inhibitory, true
4.2, 1, 130, inhibitory, true
4.2, 1, 198, inhibitory, true
4.2, 1, 123, inhibitory, true
4.2, 1, 148, inhibitory, true
4.2, 1, 102, inhibitory, true
4.2, 1, 186, inhibitory, true
4.2, 1, 110, inhibitory, true
4.2, 1, 195, inhibitory, true
4.2, 1, 124, inhibitory, true
4.2, 1, 144, inhibitory, true
4.2, 1, 197, inhibitory, true
4.2, 1, 189, inhibitory, true
4.2, 1, 192, inhibitory, true
4.2, 1, 190, inhibitory, true
4.2, 1, 193, inhibitory, true
4.2, 1, 152, inhibitory, true
4.2, 1, 105, inhibitory, true
4.2, 1, 154, inhibitory, true
4.2, 1, 196, inhibitory, true
4.2, 1, 194, inhibitory, true
4.2, 1, 111, inhibitory, true
4.2, 1, 151, inhibitory, true
4.2, 1, 153, inhibitory, true
4.2, 1, 125, inhibitory, true
4.2, 1, 150, inhibitory, true
4.2, 1, 112, inhibitory, true
4.2, 1, 156, inhibitory, true
4.2, 1, 149, inhibitory, true
4.2, 1, 160, inhibitory, true
4.2, 1, 128, inhibitory, true
4.2, 1, 126, inhibitory, true
5.2, 1, 128, inhibitory, true
5.2, 1, 126, inhibitory, true
5.2, 1, 121, inhibitory, true
5.2, 1, 133, inhibitory, true
5.2, 1, 158, inhibitory, true
5.2, 1, 145, inhibitory, true
5.2, 1, 157, inhibitory, true
5.2, 1, 144, inhibitory, true
5.2, 1, 155, inhibitory, true
5.2, 1, 122, inhibitory, true
5.2, 1, 116, inhibitory, true
5.2, 1, 161, inhibitory, true
5.2, 1, 101, inhibitory, true
5.2, 1, 146, inhibitory, true
5.2, 1, 106, inhibitory, true
5.2, 1, 113, inhibitory, true
5.2, 1, 131, inhibitory, true
5.2, 1, 134, inhibitory, true
5.2, 1, 100, inhibitory, true
5.2, 1, 199, inhibitory, true
5.2, 1, 176, inhibitory, true
5.2, 1, 171, inhibitory, true
5.2, 1, 114, inhibitory, true
5.2, 1, 115, inhibitory, true
5.2, 1, 103, inhibitory, true
5.2, 1, 163, inhibitory, true
5.2, 1, 164, inhibitory, true
5.2, 1, 169, inhibitory, true
5.2, 1, 165, inhibitory, true
5.2, 1, 162, inhibitory, true
5.2, 1, 132, inhibitory, true
5.2, 1, 135, inhibitory, true
5.2, 1, 167, inhibitory, true
5.2, 1, 168, inhibitory, true
5.2, 1, 141, inhibitory, true
5.2, 1, 108, inhibitory, true
5.2, 1, 166, inhibitory, true
5.2, 1, 136, inhibitory, true
5.2, 1, 117, inhibitory, true
5.2, 1, 107, inhibitory, true
5.2, 1, 173, inhibitory, true
5.2, 1, 120, inhibitory, true
5.2, 1, 139, inhibitory, true
5.2, 1, 119, inhibitory, true
5.2, 1, 118, inhibitory, true
5.2, 1, 137, inhibitory, true
5.2, 1, 142, inhibitory, true
5.2, 1, 138, inhibitory, true
5.2, 1, 175, inhibitory, true
5.2, 1, 177, inhibitory, true
5.2, 1, 174, inhibitory, true
5.2, 1, 178, inhibitory, true
5.2, 1, 170, inhibitory, true
5.2, 1, 179, inhibitory, true
5.2, 1, 104, inhibitory, true
5.2, 1, 188, inhibitory, true
5.2, 1, 180, inhibitory, true
5.2, 1, 185, inhibitory, true
5.2, 1, 181, inhibitory, true
5.2, 1, 172, inhibitory, true
5.2, 1, 140, inhibitory, true
5.2, 1, 143, inhibitory, true
5.2, 1, 183, inhibitory, true
5.2, 1, 184, inhibitory, true
5.2, 1, 160, inhibitory, true
5.2, 1, 186, inhibitory, true
5.2, 1, 159, inhibitory, true
5.2, 1, 187, inhibitory, true
5.2, 1, 192, inhibitory, true
5.2, 1, 109, inhibitory, true
5.2, 1, 129, inhibitory, true
5.2, 1, 127, inhibitory, true
5.2, 1, 147, inhibitory, true
5.2, 1, 102, inhibitory, true
5.2, 1, 130, inhibitory, true
5.2, 1, 182, inhibitory, true
5.2, 1, 191, inhibitory, true
5.2, 1, 148, inhibitory, true
5.2, 1, 198, inhibitory, true
5.2, 1, 123, inhibitory, true
5.2, 1, 124, inhibitory, true
5.2, 1, 110, inhibitory, true
5.2, 1, 190, inhibitory, true
5.2, 1, 195, inhibitory, true
5.2, 1, 189, inhibitory, true
5.2, 1, 197, inhibitory, true
5.2, 1, 149, inhibitory, true
5.2, 1, 194, inhibitory, true
5.2, 1, 152, inhibitory, true
5.2, 1, 193, inhibitory, true
5.2, 1, 156, inhibitory, true
5.2, 1, 196, inhibitory, true
5.2, 1, 105, inhibitory, true
5.2, 1, 154, inhibitory, true
5.2, 1, 153, inhibitory, true
5.2, 1, 111, inhibitory, true
5.2, 1, 151, inhibitory, true
5.2, 1, 112, inhibitory, true
5.2, 1, 125, inhibitory, true
5.2, 1, 150, inhibitory, true
5.752595341880207, 1, 92, inhibitory, false
5.806251073931054, 1, 56, excitatory, false
5.876546783212059, 1, 18, excitatory, false
6.2, 1, 127, inhibitory, true
6.2, 1, 109, inhibitory, true
6.2, 1, 147, inhibitory, true
6.2, 1, 132, inhibitory, true
6.2, 1, 106, inhibitory, true
6.2, 1, 157, inhibitory, true
6.2, 1, 121, inhibitory, true
6.2, 1, 128, inhibitory, true
6.2, 1, 126, inhibitory, true
6.2, 1, 145, inhibitory, true
6.2, 1, 133, inhibitory, true
6.2, 1, 158, inhibitory, true
6.2, 1, 146, inhibitory, true
6.2, 1, 122, inhibitory, true
6.2, 1, 155, inhibitory, true
6.2, 1, 101, inhibitory, true
6.2, 1, 116, inhibitory, true
6.2, 1, 161, inhibitory, true
6.2, 1, 162, inhibitory, true
6.2, 1, 171, inhibitory, true
6.2, 1, 134, inhibitory, true
6.2, 1, 113, inhibitory, true
6.2, 1, 131, inhibitory, true
6.2, 1, 176, inhibitory, true
6.2, 1, 100, inhibitory, true
6.2, 1, 199, inhibitory, true
6.2, 1, 165, inhibitory, true
6.2, 1, 103, inhibitory, true
6.2, 1, 114, inhibitory, true
6.2, 1, 115, inhibitory, true
6.2, 1, 169, inhibitory, true
6.2, 1, 163, inhibitory, true
6.2, 1, 164, inhibitory, true
6.2, 1, 143, inhibitory, true
6.2, 1, 140, inhibitory, true
6.2, 1, 136, inhibitory, true
6.2, 1, 168, inhibitory, true
6.2, 1, 135, inhibitory, true
6.2, 1, 167, inhibitory, true
6.2, 1, 166, inhibitory, true
6.2, 1, 141, inhibitory, true
6.2, 1, 108, inhibitory, true
6.2, 1, 118, inhibitory, true
6.2, 1, 119, inhibitory, true
6.2, 1, 107, inhibitory, true
6.2, 1, 117, inhibitory, true
6.2, 1, 139, inhibitory, true
6.2, 1, 173, inhibitory, true
6.2, 1, 120, inhibitory, true
6.2, 1, 172, inhibitory, true
6.2, 1, 178, inhibitory, true
6.2, 1, 138, inhibitory, true
6.2, 1, 137, inhibitory, true
6.2, 1, 142, inhibitory, true
6.2, 1, 174, inhibitory, true
6.2, 1, 175, inhibitory, true
6.2, 1, 177, inhibitory, true
6.2, 1, 181, inhibitory, true
6.2, 1, 104, inhibitory, true
6.2, 1, 170, inhibitory, true
6.2, 1, 179, inhibitory, true
6.2, 1, 185, inhibitory, true
6.2, 1, 188, inhibitory, true
6.2, 1, 180, inhibitory, true
6.2, 1, 102, inhibitory, true
6.2, 1, 150, inhibitory, true
6.2, 1, 125, inhibitory, true
6.2, 1, 192, inhibitory, true
6.2, 1, 187, inhibitory, true
6.2, 1, 184, inhibitory, true
6.2, 1, 183, inhibitory, true
6.2, 1, 159, inhibitory, true
6.2, 1, 160, inhibitory, true
6.2, 1, 186, inhibitory, true
6.2, 1, 190, inhibitory, true
6.2, 1, 130, inhibitory, true
6.2, 1, 129, inhibitory, true
6.2, 1, 182, inhibitory, true
6.2, 1, 112, inhibitory, true
6.2, 1, 110, inhibitory, true
6.2, 1, 198, inhibitory, true
6.2, 1, 148, inhibitory, true
6.2, 1, 124, inhibitory, true
6.2, 1, 144, inhibitory, true
6.2, 1, 123, inhibitory, true
6.2, 1, 151, inhibitory, true
6.2, 1, 193, inhibitory, true
6.2, 1, 197, inhibitory, true
6.2, 1, 195, inhibitory, true
6.2, 1, 189, inhibitory, true
6.2, 1, 152, inhibitory, true
6.2, 1, 149, inhibitory, true
6.2, 1, 194, inhibitory, true
6.2, 1, 111, inhibitory, true
6.2, 1, 196, inhibitory, true
6.2, 1, 156, inhibitory, true
6.2, 1, 191, inhibitory, true
6.2, 1, 153, inhibitory, true
6.2, 1, 105, inhibitory, true
6.2, 1, 154, inhibitory, true
7.2, 1, 105, inhibitory, true
7.2, 1, 154, inhibitory, true
7.2, 1, 185, inhibitory, true
7.2, 1, 115, inhibitory, true
7.2, 1, 122, inhibitory, true
7.2, 1, 121, inhibitory, true
7.2, 1, 147, inhibitory, true
7.2, 1, 109, inhibitory, true
7.2, 1, 157, inhibitory, true
7.2, 1, 132, inhibitory, true
7.2, 1, 106, inhibitory, true
7.2, 1, 146, inhibitory, true
7.2, 1, 126, inhibitory, true
7.2, 1, 144, inhibitory, true
7.2, 1, 128, inhibitory, true
7.2, 1, 158, inhibitory, true
7.2, 1, 145, inhibitory, true
7.2, 1, 133, inhibitory, true
7.2, 1, 114, inhibitory, true
7.2, 1, 134, inhibitory, true
7.2, 1, 116, inhibitory, true
7.2, 1, 155, inhibitory, true
7.2, 1, 101, inhibitory, true
7.2, 1, 171, inhibitory, true
7.2, 1, 161, inhibitory, true
7.2, 1, 162, inhibitory, true
7.2, 1, 103, inhibitory, true
7.2, 1, 176, inhibitory, true
7.2, 1, 113, inhibitory, true
7.2, 1, 131, inhibitory, true
7.2, 1, 165, inhibitory, true
7.2, 1, 100, inhibitory, true
7.2, 1, 199, inhibitory, true
7.2, 1, 179, inhibitory, true
7.2, 1, 107, inhibitory, true
7.2, 1, 168, inhibitory, true
7.2, 1, 164, inhibitory, true
7.2, 1, 169, inhibitory, true
7.2, 1, 163, inhibitory, true
7.2, 1, 136, inhibitory, true
7.2, 1, 143, inhibitory, true
7.2, 1, 140, inhibitory, true
7.2, 1, 119, inhibitory, true
7.2, 1, 166, inhibitory, true
7.2, 1, 135, inhibitory, true
7.2, 1, 167, inhibitory, true
7.2, 1, 118, inhibitory, true
7.2, 1, 141, inhibitory, true
7.2, 1, 108, inhibitory, true
7.2, 1, 170, inhibitory, true
7.2, 1, 138, inhibitory, true
7.2, 1, 173, inhibitory, true
7.2, 1, 117, inhibitory, true
7.2, 1, 139, inhibitory, true
7.2, 1, 178, inhibitory, true
7.2, 1, 120, inhibitory, true
7.2, 1, 172, inhibitory, true
7.2, 1, 104, inhibitory, true
7.2, 1, 174, inhibitory, true
7.2, 1, 137, inhibitory, true
7.2, 1, 142, inhibitory, true
7.2, 1, 181, inhibitory, true
7.2, 1, 175, inhibitory, true
7.2, 1, 177, inhibitory, true
7.2, 1, 153, inhibitory, true
7.2, 1, 148, inhibitory, true
7.2, 1, 186, inhibitory, true
7.2, 1, 187, inhibitory, true
7.2, 1, 102, inhibitory, true
7.2, 1, 188, inhibitory, true
